City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Tasiilaq,GL,2022-03-22 13:16:32,65.6145,-37.6368,23.16,53,1,1.45
113,Bilma,NE,2022-03-22 13:16:32,18.6853,12.9164,89.38,10,0,11.97
114,Enshi,CN,2022-03-22 13:16:32,30.3,109.4833,48.0,94,100,0.54
115,Kilindoni,TZ,2022-03-22 13:16:33,-7.9139,39.6668,83.08,74,82,11.32
116,Nanortalik,GL,2022-03-22 13:16:33,60.1432,-45.2371,22.28,56,65,2.53
117,Zhenlai,CN,2022-03-22 13:16:34,45.8495,123.2973,32.97,44,96,9.42
118,Oruro,BO,2022-03-22 13:16:34,-17.9833,-67.15,48.69,81,20,5.75
119,Kapaa,US,2022-03-22 13:12:28,22.0752,-159.319,73.72,84,40,14.97
120,Katsuura,JP,2022-03-22 13:16:35,35.1333,140.3,39.22,79,100,25.46
121,Nikolskoye,RU,2022-03-22 13:16:35,59.7035,30.7861,42.69,78,0,7.27
122,Sitka,US,2022-03-22 13:16:35,57.0531,-135.33,46.29,61,100,14.97
123,Balkanabat,TM,2022-03-22 13:16:36,39.5108,54.3671,44.28,87,100,12.64
124,Whitehorse,CA,2022-03-22 13:16:36,60.7161,-135.0538,25.11,88,100,2.3
125,Abalak,RU,2022-03-22 13:16:37,58.1286,68.5944,22.62,92,100,5.95
126,Maxixe,MZ,2022-03-22 13:16:37,-23.8597,35.3472,78.62,78,75,10.36
127,Dayong,CN,2022-03-22 13:16:37,25.0209,118.2898,59.18,85,100,2.24
128,Pevek,RU,2022-03-22 13:16:38,69.7008,170.3133,24.12,77,100,25.72
129,Hobart,AU,2022-03-22 13:16:03,-42.8794,147.3294,57.06,73,16,13.8
130,Upernavik,GL,2022-03-22 13:14:23,72.7868,-56.1549,-10.23,68,100,6.24
131,Port Lincoln,AU,2022-03-22 13:16:38,-34.7333,135.8667,62.26,88,0,12.91
132,Smoky Lake,CA,2022-03-22 13:16:39,54.1169,-112.4686,21.92,93,90,4.61
