City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
119,Port Alfred,ZA,-33.5906,26.891,72.09,89,100,16.11,light rain,2022-03-24 00:53:11
120,Bosaso,SO,11.2842,49.1816,78.12,70,54,4.36,broken clouds,2022-03-24 00:53:11
121,Takoradi,GH,4.8845,-1.7554,80.2,85,100,5.19,overcast clouds,2022-03-24 00:53:11
122,Dikson,RU,73.5069,80.5464,1.94,95,100,7.38,overcast clouds,2022-03-24 00:53:12
123,Gayny,RU,60.3071,54.3241,19.0,96,89,2.46,overcast clouds,2022-03-24 00:53:12
124,Qaanaaq,GL,77.484,-69.3632,-11.85,85,99,6.87,overcast clouds,2022-03-24 00:53:12
125,La Fleche,FR,47.6982,-0.0755,47.14,66,1,5.26,clear sky,2022-03-24 00:53:13
126,Kabwe,ZM,-14.4469,28.4464,61.61,98,15,4.5,few clouds,2022-03-24 00:53:13
127,Ixtapa,MX,20.7,-105.2,72.23,81,0,5.99,clear sky,2022-03-24 00:49:41
128,Ankara,TR,39.9199,32.8543,34.34,84,100,1.01,light snow,2022-03-24 00:53:13
129,Lavrentiya,RU,65.5833,-171.0,11.35,78,0,4.16,clear sky,2022-03-24 00:53:14
130,Pangnirtung,CA,66.1451,-65.7125,11.57,86,100,6.15,overcast clouds,2022-03-24 00:53:14
131,Huambo,AO,-12.7761,15.7392,60.64,95,100,1.57,overcast clouds,2022-03-24 00:53:14
132,Saskylakh,RU,71.9167,114.0833,-6.18,98,99,5.19,overcast clouds,2022-03-24 00:53:15
133,Hay River,CA,60.8156,-115.7999,13.98,73,75,9.22,broken clouds,2022-03-24 00:53:15
134,Torbay,CA,47.6666,-52.7314,31.57,91,100,10.36,light shower snow,2022-03-24 00:53:15
135,Nanton,CA,50.3501,-113.7687,64.45,55,100,13.42,overcast clouds,2022-03-24 00:53:16
136,Davila,PH,18.4726,120.5763,82.38,67,76,8.72,broken clouds,2022-03-24 00:53:16
137,Oranjemund,NA,-28.55,16.4333,65.37,90,87,4.45,overcast clouds,2022-03-24 00:53:16
138,Meiganga,CM,6.5167,14.3,70.14,24,100,2.89,overcast clouds,2022-03-24 00:53:17
139,Sibolga,ID,1.7427,98.7792,79.77,70,14,2.39,few clouds,2022-03-24 00:53:17
140,Carnarvon,AU,-24.8667,113.6333,78.87,78,100,4.61,overcast clouds,2022-03-24 00:53:17
141,Menongue,AO,-14.6585,17.691,61.75,97,100,4.07,overcast clouds,2022-03-24 00:53:18
142,Santa Maria,BR,-29.6842,-53.8069,69.1,94,100,2.3,overcast clouds,2022-03-24 00:52:01
143,Morondava,MG,-20.2833,44.2833,77.79,82,0,4.07,clear sky,2022-03-24 00:53:18
144,Gat,IL,31.61,34.7642,50.4,100,52,8.79,broken clouds,2022-03-24 00:53:18
145,Atar,MR,20.5169,-13.0499,70.14,22,0,10.16,clear sky,2022-03-24 00:53:19
146,Coquimbo,CL,-29.9533,-71.3436,64.2,73,0,7.4,clear sky,2022-03-24 00:53:19
147,Vilyuysk,RU,63.7553,121.6247,17.78,93,100,1.81,overcast clouds,2022-03-24 00:53:19
148,Vila Velha,BR,-20.3297,-40.2925,75.15,80,0,4.61,clear sky,2022-03-24 00:53:17
149,Venice,US,27.0998,-82.4543,77.99,90,0,9.22,mist,2022-03-24 00:53:20
150,Batemans Bay,AU,-35.7167,150.1833,66.09,92,100,1.88,overcast clouds,2022-03-24 00:52:19
151,Butaritari,KI,3.0707,172.7902,80.71,78,28,12.73,light rain,2022-03-24 00:53:20
152,Ahipara,NZ,-35.1667,173.1667,71.06,74,33,17.78,scattered clouds,2022-03-24 00:53:21
153,Margate,GB,51.3813,1.3862,44.69,69,0,1.63,clear sky,2022-03-24 00:53:21
154,Mehamn,NO,71.0357,27.8492,25.05,62,100,15.5,overcast clouds,2022-03-24 00:53:21
155,East London,ZA,-33.0153,27.9116,73.26,72,100,15.21,overcast clouds,2022-03-24 00:53:22
156,Uruzgan,AF,32.8333,66.0,53.29,47,0,5.5,clear sky,2022-03-24 00:53:22
157,Houma,US,29.5958,-90.7195,62.6,49,0,0.0,clear sky,2022-03-24 00:51:29
158,Storforshei,NO,66.4043,14.5233,38.66,100,100,4.32,overcast clouds,2022-03-24 00:53:22
159,Narsaq,GL,60.9167,-46.05,18.95,81,100,6.29,overcast clouds,2022-03-24 00:53:23
160,Bossangoa,CF,6.4926,17.4552,78.24,41,100,0.78,overcast clouds,2022-03-24 00:53:23
161,Batagay,RU,67.6333,134.6333,4.51,90,73,2.08,broken clouds,2022-03-24 00:53:23
162,Tecpan,GT,14.7623,-90.9947,56.61,89,86,1.57,overcast clouds,2022-03-24 00:53:24
163,Pevek,RU,69.7008,170.3133,21.9,83,100,3.69,overcast clouds,2022-03-24 00:53:24
164,Amapa,BR,1.0,-52.0,73.09,98,100,3.74,overcast clouds,2022-03-24 00:53:24
165,Qasigiannguit,GL,68.8193,-51.1922,-16.89,90,24,6.06,few clouds,2022-03-24 00:53:25
166,Buluang,PH,13.3068,123.3425,84.38,66,6,2.21,clear sky,2022-03-24 00:53:25
167,Okha,RU,53.5739,142.9478,23.0,79,8,8.52,clear sky,2022-03-24 00:53:25
168,Pisco,PE,-13.7,-76.2167,69.03,77,0,23.02,clear sky,2022-03-24 00:53:26
169,Atuona,PF,-9.8,-139.0333,79.41,77,100,15.43,overcast clouds,2022-03-24 00:53:26
170,Tasiilaq,GL,65.6145,-37.6368,3.27,78,100,3.65,overcast clouds,2022-03-24 00:53:26
171,Zabaykalsk,RU,49.6333,117.3167,21.6,74,61,7.25,broken clouds,2022-03-24 00:53:27
172,Arlit,NE,18.7369,7.3853,73.44,15,6,8.66,clear sky,2022-03-24 00:53:27
173,Inta,RU,66.0317,60.1659,13.06,92,100,15.66,overcast clouds,2022-03-24 00:53:27
174,Bethanien,NA,-26.502,17.1583,70.09,33,0,5.14,clear sky,2022-03-24 00:53:28
